2,2,2017-05-11T10:25:59.211,NSGAII,NullMutation,BLXAlphaCrossover
3,1,1.9077704434132539,4.0,-0.36041193523879667,-5.953885221706627
4,5,4.0,4.0,12.0,-7.0
4,10,1.9077704434132539,4.0,-0.36041193523879667,-5.953885221706627
5,5,4.0,4.0,12.0,-7.0
5,6,1.9077704434132539,4.0,-0.36041193523879667,-5.953885221706627
5,10,4.0,4.0,12.0,-7.0
6,2,4.0,4.0,12.0,-7.0
6,5,4.0,4.0,12.0,-7.0
6,6,4.0,4.0,12.0,-7.0
6,7,4.0,4.0,12.0,-7.0
6,8,4.0,4.0,12.0,-7.0
7,7,1.9077704434132539,4.0,-0.36041193523879667,-5.953885221706627
7,8,1.9077704434132539,4.0,-0.36041193523879667,-5.953885221706627
8,5,0.22287893346652154,4.0,-3.9503249810168257,-5.111439466733261
8,7,1.9077704434132539,4.0,-0.36041193523879667,-5.953885221706627
8,8,1.9077704434132539,4.0,-0.36041193523879667,-5.953885221706627
9,1,4.0,4.0,12.0,-7.0
9,2,4.0,4.0,12.0,-7.0
9,5,4.0,4.0,12.0,-7.0
9,6,4.0,4.0,12.0,-7.0
9,7,1.9077704434132539,4.0,-0.36041193523879667,-5.953885221706627
9,8,4.0,4.0,12.0,-7.0
9,9,4.0,4.0,12.0,-7.0
9,10,4.0,4.0,12.0,-7.0
10,1,4.0,4.0,12.0,-7.0
10,2,1.9077704434132539,4.0,-0.36041193523879667,-5.953885221706627
10,3,4.0,4.0,12.0,-7.0
10,5,4.0,4.0,12.0,-7.0
10,6,4.0,4.0,12.0,-7.0
10,7,1.9077704434132539,4.0,-0.36041193523879667,-5.953885221706627
10,8,1.9077704434132539,4.0,-0.36041193523879667,-5.953885221706627
10,9,2.69046889214804,4.0,3.238622859616301,-6.34523444607402
10,10,3.043232814095955,4.0,5.261265960790384,-6.521616407047977
11,1,3.043232814095955,4.0,5.261265960790384,-6.521616407047977
11,2,1.9077704434132539,4.0,-0.36041193523879667,-5.953885221706627
11,3,4.0,4.0,12.0,-7.0
11,5,4.0,4.0,12.0,-7.0
11,6,4.0,4.0,12.0,-7.0
11,7,3.043232814095955,4.0,5.261265960790384,-6.521616407047977
11,8,3.043232814095955,4.0,5.261265960790384,-6.521616407047977
11,9,2.69046889214804,4.0,3.238622859616301,-6.34523444607402
11,10,4.0,4.0,12.0,-7.0
12,1,3.129506010748699,4.0,5.793807871312236,-6.5647530053743495
12,3,0.22287893346652154,4.0,-3.9503249810168257,-5.111439466733261
12,4,1.9077704434132539,4.0,-0.36041193523879667,-5.953885221706627
12,5,4.0,4.0,12.0,-7.0
12,6,4.0,4.0,12.0,-7.0
12,8,4.0,4.0,12.0,-7.0
12,9,4.0,4.0,12.0,-7.0
13,1,4.0,4.0,12.0,-7.0
13,2,0.10466383249076117,4.0,-3.989045482168346,-5.052331916245381
13,3,1.2287680287184877,4.0,-2.490129131599282,-5.614384014359244
13,4,4.0,4.0,12.0,-7.0
13,7,2.69046889214804,4.0,3.238622859616301,-6.34523444607402
13,8,2.69046889214804,4.0,3.238622859616301,-6.34523444607402
13,9,4.0,4.0,12.0,-7.0
13,10,1.025355257637786,4.0,-2.94864659563455,-5.512677628818893
14,3,4.0,4.0,12.0,-7.0
14,5,4.0,4.0,12.0,-7.0
14,6,4.0,4.0,12.0,-7.0
14,7,4.0,4.0,12.0,-7.0
14,8,4.0,4.0,12.0,-7.0
14,9,4.0,4.0,12.0,-7.0
15,2,4.0,4.0,12.0,-7.0
15,3,4.0,4.0,12.0,-7.0
15,4,4.0,4.0,12.0,-7.0
15,5,4.0,4.0,12.0,-7.0
15,9,4.0,4.0,12.0,-7.0
15,10,1.025355257637786,4.0,-2.94864659563455,-5.512677628818893
16,1,0.10466383249076117,4.0,-3.989045482168346,-5.052331916245381
16,2,0.10466383249076117,4.0,-3.989045482168346,-5.052331916245381
16,3,0.10466383249076117,4.0,-3.989045482168346,-5.052331916245381
16,4,3.129506010748699,4.0,5.793807871312236,-6.5647530053743495
16,5,1.9077704434132539,4.0,-0.36041193523879667,-5.953885221706627
16,6,1.9077704434132539,4.0,-0.36041193523879667,-5.953885221706627
16,7,4.0,4.0,12.0,-7.0
16,9,4.0,4.0,12.0,-7.0
17,1,3.3580959851450025,4.0,7.276808645446986,-6.679047992572501
17,2,4.0,4.0,12.0,-7.0
17,3,3.129506010748699,4.0,5.793807871312236,-6.5647530053743495
17,4,1.025355257637786,4.0,-2.94864659563455,-5.512677628818893
17,5,4.0,4.0,12.0,-7.0
17,6,4.0,4.0,12.0,-7.0
17,9,4.0,4.0,12.0,-7.0
17,10,4.0,4.0,12.0,-7.0
18,1,4.0,4.0,12.0,-7.0
18,2,4.0,4.0,12.0,-7.0
18,3,4.0,4.0,12.0,-7.0
18,5,4.0,4.0,12.0,-7.0
18,6,0.10466383249076117,4.0,-3.989045482168346,-5.052331916245381
18,7,0.10466383249076117,4.0,-3.989045482168346,-5.052331916245381
18,8,3.3580959851450025,4.0,7.276808645446986,-6.679047992572501
18,9,0.10466383249076117,4.0,-3.989045482168346,-5.052331916245381
18,10,0.10466383249076117,4.0,-3.989045482168346,-5.052331916245381
19,1,4.0,4.0,12.0,-7.0
19,2,4.0,4.0,12.0,-7.0
19,4,4.0,4.0,12.0,-7.0
19,5,4.0,4.0,12.0,-7.0
19,8,4.0,4.0,12.0,-7.0
20,1,4.0,4.0,12.0,-7.0
20,2,4.0,4.0,12.0,-7.0
20,3,0.10466383249076117,4.0,-3.989045482168346,-5.052331916245381
20,4,0.10466383249076117,4.0,-3.989045482168346,-5.052331916245381
20,5,4.0,4.0,12.0,-7.0
20,7,4.0,4.0,12.0,-7.0
20,8,4.0,4.0,12.0,-7.0
20,9,4.0,4.0,12.0,-7.0
20,10,4.0,4.0,12.0,-7.0
21,1,4.0,4.0,12.0,-7.0
21,2,4.0,4.0,12.0,-7.0
21,3,4.0,4.0,12.0,-7.0
21,4,4.0,4.0,12.0,-7.0
21,6,4.0,4.0,12.0,-7.0
21,10,2.1776958532529065,4.0,0.7423592292749044,-6.088847926626453
22,1,0.10466383249076117,4.0,-3.989045482168346,-5.052331916245381
22,2,4.0,4.0,12.0,-7.0
22,3,4.0,4.0,12.0,-7.0
22,4,4.0,4.0,12.0,-7.0
22,6,4.0,4.0,12.0,-7.0
22,7,4.0,4.0,12.0,-7.0
22,8,4.0,4.0,12.0,-7.0
22,9,2.1776958532529065,4.0,0.7423592292749044,-6.088847926626453
22,10,4.0,4.0,12.0,-7.0
23,1,2.69046889214804,4.0,3.238622859616301,-6.34523444607402
23,2,4.0,4.0,12.0,-7.0
23,3,4.0,4.0,12.0,-7.0
23,4,0.10466383249076117,4.0,-3.989045482168346,-5.052331916245381
